Team	GM	PYD	PTD	INT	RSHYD	RSHTD	FP	FP AVG	Unnamed: 9	PYD AVG	PYD RNK	Unnamed: 12	PTD AVG	PTD RNK	Unnamed: 15	INT AVG	INT RANK	RSHYD AVG	RSHYD RANK	RSHTD AVG	RSHTD RANK	Unnamed: 22	FP RNK	FP/CMP	FP/CMP RNK
ARI	17	3930	20	9	2147	18	285.5	16.79		231.18	19		1.18	28		0.53	24	17.82	22	0.35	3		17	0.77	22
ATL	17	3947	34	12	2020	9	337.38	19.85		232.18	18		2.0	2		0.71	16	29.12	4	0.18	18		5	0.84	12
BAL	19	4863	28	12	1536	15	338.42	17.81		255.95	5		1.47	15		0.63	20	13.63	28	0.26	8		10	0.79	20
BUF	20	4743	32	17	2348	17	346.52	17.33		237.15	11		1.6	9		0.85	10	19.4	17	0.2	16		15	0.78	21
CAR	17	4012	35	9	2992	23	351.88	20.7		236.0	13		2.06	1		0.53	24	23.18	13	0.29	7		2	0.98	2
CHI	17	3959	17	10	2315	19	234.16	13.77		232.88	17		1.0	32		0.59	21	12.82	30	0.06	26		32	0.72	27
CIN	17	4016	30	15	2119	20	327.24	19.25		236.24	12		1.76	3		0.88	9	30.94	2	0.24	11		6	0.88	6
CLE	17	3860	26	3	2055	19	302.1	17.77		227.06	23		1.53	13		0.18	32	25.71	6	0.06	26		11	0.96	3
DAL	17	4045	28	13	2313	25	363.1	21.36		237.94	10		1.65	7		0.76	13	32.53	1	0.59	1		1	1.04	1
DEN	18	4350	24	15	1853	11	291.8	16.21		241.67	8		1.33	25		0.83	11	18.78	21	0.17	20		21	0.71	29
DET	18	4703	20	16	1856	21	322.52	17.92		261.28	3		1.11	30		0.89	6	28.0	5	0.33	5		8	0.82	15
GB	18	4090	25	16	1858	13	268.0	14.89		227.22	22		1.39	22		0.89	6	16.89	24	0.06	30		29	0.68	30
HOU	19	4168	33	23	2056	12	312.12	16.43		219.37	27		1.74	4		1.21	2	21.79	14	0.16	22		19	0.88	8
IND	17	4120	27	16	2241	19	297.0	17.47		242.35	7		1.59	10		0.94	4	18.94	19	0.24	11		14	0.79	19
JAX	17	4581	29	6	2216	19	341.14	20.07		269.47	1		1.71	5		0.35	30	24.65	9	0.12	23		4	0.88	7
KC	20	4673	28	14	2160	17	359.22	17.96		233.65	16		1.4	19		0.7	17	29.15	3	0.25	9		7	0.83	13
LAC	18	4041	25	16	2147	8	291.04	16.17		224.5	25		1.39	22		0.89	6	24.11	10	0.17	20		22	0.75	23
LAR	19	4474	30	14	2586	16	339.76	17.88		235.47	14		1.58	12		0.74	15	23.58	12	0.21	15		9	0.86	11
LV	17	3989	29	10	1987	14	301.86	17.76		234.65	15		1.71	5		0.59	21	16.65	25	0.18	18		12	0.82	16
MIA	17	3829	22	10	1766	12	238.76	14.04		225.24	24		1.29	27		0.59	21	10.35	31	0.0	32		31	0.65	31
MIN	18	4655	26	24	1675	12	264.1	14.67		258.61	4		1.44	18		1.33	1	8.83	32	0.06	30		30	0.61	32
NE	17	3749	27	7	2234	16	273.06	16.06		220.53	26		1.59	10		0.41	27	13.59	29	0.06	26		23	0.79	18
NO	17	4295	19	14	2403	20	269.2	15.84		252.65	6		1.12	29		0.82	12	25.53	8	0.06	26		24	0.74	24
NYG	17	3869	23	5	2315	18	301.06	17.71		227.59	21		1.35	24		0.29	31	23.71	11	0.24	11		13	0.86	9
NYJ	17	3588	18	7	2058	22	282.02	16.59		211.06	28		1.06	31		0.41	27	19.12	18	0.47	2		18	0.86	10
PHI	21	4314	28	19	2115	11	314.66	14.98		205.43	30		1.33	25		0.9	5	21.0	16	0.19	17		28	0.73	25
PIT	18	4326	25	17	1971	16	282.04	15.67		240.33	9		1.39	22		0.94	3	17.22	23	0.11	25		27	0.71	28
SEA	17	3923	25	13	2053	11	268.02	15.77		230.76	20		1.47	16		0.76	13	14.76	27	0.12	23		26	0.72	26
SF	17	3476	25	11	2117	24	268.64	15.8		204.47	31		1.47	16		0.65	18	16.24	26	0.24	11		25	0.79	17
TB	18	4715	29	7	1742	13	365.8	20.32		261.94	2		1.61	8		0.39	29	21.78	15	0.33	5		3	0.83	14
TEN	17	3213	26	11	2277	21	290.02	17.06		189.0	32		1.53	13		0.65	18	25.59	7	0.35	3		16	0.93	4
WAS	20	4218	28	10	2849	28	328.42	16.42		210.9	29		1.4	19		0.5	26	18.85	20	0.25	9		20	0.9	5
