Team	GM	REC	RECYD	RECTD	FP	FP AVG	Unnamed: 7	REC AVG	REC RNK	Unnamed: 10	RECYD AVG	RECYD RNK	Unnamed: 13	RECTD AVG	RECTD RNK	Unnamed: 16	FP RNK	FP/REC	FP/REC RNK
ARI	17	369	3912	20	163.9	9.64		4.71	24		42.29	27		0.12	30		29	2.05	31
ATL	17	403	4002	34	200.7	11.81		4.71	24		49.82	18		0.35	11		20	2.51	9
BAL	19	429	4861	28	228.8	12.04		5.21	14		52.53	15		0.26	23		15	2.31	21
BUF	20	444	4744	31	238.4	11.92		5.25	13		48.7	21		0.3	14		17	2.27	25
CAR	17	360	4043	35	245.6	14.45		5.0	17		55.65	12		0.65	1		5	2.89	1
CHI	17	325	3959	17	208.1	12.24		4.88	20		59.47	6		0.24	25		12	2.51	10
CIN	17	370	4014	28	282.4	16.61		6.53	1		65.53	2		0.59	2		1	2.54	7
CLE	17	316	3878	26	202.3	11.9		4.88	20		49.0	20		0.35	11		19	2.44	12
DAL	17	349	4047	28	187.6	11.04		3.94	31		42.71	25		0.47	6		24	2.8	2
DEN	18	410	4341	24	218.4	12.13		5.56	9		49.11	19		0.28	21		14	2.18	30
DET	18	395	4703	20	169.3	9.41		4.11	30		39.61	31		0.22	28		31	2.29	23
GB	18	394	4090	25	230.1	12.78		5.44	10		56.72	10		0.28	21		11	2.35	17
HOU	19	355	4173	33	227.0	11.95		4.53	27		45.79	23		0.47	5		16	2.64	4
IND	17	378	4142	27	253.7	14.92		5.94	5		58.06	8		0.53	3		4	2.51	8
JAX	17	388	4605	29	228.3	13.43		5.12	15		54.88	13		0.47	6		9	2.62	5
KC	20	432	4666	28	283.4	14.17		5.85	6		65.2	3		0.3	14		7	2.42	13
LAC	18	389	4044	25	192.7	10.71		5.44	10		45.94	22		0.11	32		27	1.97	32
LAR	19	394	4471	29	291.4	15.34		6.21	2		66.0	1		0.42	9		3	2.47	11
LV	17	370	3989	29	265.7	15.63		6.0	4		64.53	5		0.53	3		2	2.6	6
MIA	17	365	3829	22	223.0	13.12		5.76	8		55.88	11		0.29	17		10	2.28	24
MIN	18	434	4668	26	218.7	12.15		5.39	12		54.28	14		0.22	28		13	2.25	28
NE	17	346	3749	27	202.4	11.91		5.12	15		50.24	17		0.29	17		18	2.33	18
NO	17	365	4277	19	195.1	11.48		4.88	20		58.88	7		0.12	30		22	2.35	16
NYG	17	349	3869	23	159.9	9.41		3.94	31		40.53	30		0.24	25		30	2.39	15
NYJ	17	327	3588	18	185.8	10.93		4.82	22		43.41	24		0.29	17		25	2.27	27
PHI	21	434	4337	28	228.9	10.9		4.81	23		40.9	29		0.33	13		26	2.27	26
PIT	18	398	4326	25	256.9	14.27		6.17	3		57.72	9		0.39	10		6	2.31	19
SEA	17	370	3923	25	196.6	11.56		5.0	17		51.53	16		0.24	25		21	2.31	20
SF	17	338	3469	24	176.9	10.41		4.53	26		41.12	28		0.29	17		28	2.3	22
TB	18	442	4732	29	250.7	13.93		5.78	7		64.83	4		0.28	21		8	2.41	14
TEN	17	313	3214	26	157.6	9.27		4.12	29		37.41	32		0.24	25		32	2.25	29
WAS	20	366	4259	29	221.6	11.08		4.15	28		42.3	26		0.45	8		23	2.67	3
